,title,year,kind,genre,rating,vote,country,language,director,runtime
1452,Howard Zinn: You Can't Be Neutral on a Moving Train,2004.0,0,6,1,0.00032614673272458026,8,2,831,0.019159456118665017
1453,Waydowntown,2000.0,0,4,1,0.0007469288187802031,0,0,1107,0.011124845488257106
1454,Baller Blockin',2000.0,0,0,2,0.00013200210228578904,8,2,3292,0.11001236093943138
1456,Burnt by the Sun,1994.0,0,7,1,0.0060761583082935494,9,0,2557,0.028430160692212606
1457,Speaking Parts,1989.0,0,7,1,0.0005596889136917454,0,2,246,0.07478368355995055
1458,Taste the Blood of Dracula,1970.0,0,7,1,0.0022984612210316313,7,0,2733,0.07663782447466005
1460,The Substitute,1996.0,0,0,2,0.005340195818010936,8,2,2969,0.035228677379480836
1461,The Mighty Quinn,1989.0,0,0,2,0.0021790500885023327,8,2,466,0.05933250927070457
1462,Ozzy Osbourne: Don't Blame Me,1991.0,0,6,1,7.229653602113984e-05,8,2,1524,0.055624227441285534
1463,The Mysterians,1957.0,0,0,1,0.0006145205561796886,6,0,1390,0.0173053152039555
1464,Devil in the Flesh,1986.0,0,7,2,0.0005978679832759428,5,0,2190,0.06118665018541409
1465,The Unreal Story of Professional Wrestling,1999.0,0,0,1,7.067189476223781e-05,8,2,561,0.05747836835599505
1466,INXS: Live Baby Live,1991.0,0,6,4,0.00013890682763612261,7,2,782,0.15945611866501855
1468,Spike and Mike's Hilarious Sick and Twisted Festival of Animation,1997.0,0,2,1,4.183451241672698e-05,8,2,3575,0.054388133498145856
1469,My Son the Fanatic,1997.0,0,4,1,0.0006539181067080625,7,2,3508,0.05686032138442521
1471,Monster Island,2004.0,0,1,0,0.00046708436193433037,0,2,1421,0.054388133498145856
1472,The Very Best of Cher: The Video Hits Collection,2004.0,0,9,1,5.2800840914315614e-05,8,0,530,0.06118665018541409
1473,The Jackal,1997.0,0,0,1,0.04557931051849614,8,0,2361,0.013597033374536464
1474,Leprechaun 5: In the Hood,2000.0,0,0,0,0.0027980384081440018,8,2,2929,0.04758961681087762
1476,George Carlin: Complaints & Grievances,2001.0,0,6,4,0.0014077516508385994,8,2,2991,0.05067985166872682
1477,Gospel According to Al Green,1984.0,0,6,1,1.9901855421549728e-05,7,2,2972,0.01792336217552534
1480,Santa Claus Conquers the Martians,1991.0,1,4,4,0.0002855307012520298,8,2,1601,0.054388133498145856
1481,Snow White and the Seven Dwarfs,1984.0,1,1,4,0.00011575568969676885,8,2,2724,0.018541409147095178
1482,Wanted for Murder,1946.0,0,5,1,0.00019455079075351674,7,2,2054,0.08220024721878862
1483,Hairdo U,2002.0,0,4,0,1.8683374477373214e-05,8,2,836,0.052533992583436336
1485,National Geographic Kids: Creepy Creatures,2000.0,0,10,2,5.686244406157066e-06,8,2,661,0.004326328800988875
1487,Whale Rider,2002.0,0,7,1,0.01694541449066278,9,0,2556,0.060568603213844247
1488,La Terra Trema,1948.0,0,7,1,0.0019463202281646186,5,0,2125,0.046353522867737945
1489,Madadayo,1993.0,0,7,1,0.0021506188664715473,6,0,59,0.07663782447466005
1491,Possible Loves,2001.0,0,4,1,0.00043662233832991753,9,0,3093,0.060568603213844247
1494,28 Days Later...,2002.0,0,7,1,0.1592924199925104,7,0,709,0.04697156983930778
1495,Blacktop,2000.0,0,7,2,0.00023679146348496924,0,2,3339,0.06242274412855376
1496,Intolerance,1916.0,0,7,1,0.006069659743257942,8,0,666,0.05747836835599505
1497,Lone Wolf and Cub: Sword of Vengeance,1972.0,0,0,1,0.003108751048909013,6,4,1944,0.05995055624227441
1499,James Dean,2001.0,0,3,1,0.002135997095141429,8,2,2250,0.0772558714462299
1500,Not One Less,1999.0,0,7,1,0.0034876986225479086,9,0,3652,0.060568603213844247
1501,Our America,2002.0,0,7,1,0.00011413104843786682,0,2,1005,0.02595797280593325
1502,Jasper Johns: Ideas in Paint,1989.0,1,6,1,3.086818391913836e-05,8,2,2903,0.04697156983930778
1503,Everyone,2004.0,0,4,2,0.00020957872239836043,0,2,329,0.05067985166872682
1505,General Idi Amin Dada: A Self Portrait,1974.0,0,6,1,0.0007477411394096541,1,0,261,0.021013597033374534
1506,The Return of Martin Guerre,1982.0,0,3,1,0.0017452708723754938,1,0,704,0.0519159456118665
1508,"Goodbye, South, Goodbye",1996.0,0,5,1,0.0006705706796118082,9,0,1351,0.05067985166872682
1509,Tenjho Tenge: Ultimate Fight,2005.0,0,2,1,1.908953479209872e-05,6,4,1942,0.05933250927070457
1510,Green Day: International Supervideos!,2001.0,0,9,4,0.00011372488812314131,8,2,2029,0.05129789864029666
1511,Sharpe's Revenge,1997.0,1,0,1,0.0007960742168619892,7,0,3447,0.04511742892459827
1513,Chopin: Desire for Love,2002.0,0,7,2,0.0002952785488054419,9,0,1571,0.061804697156983925
1514,Spirited Away,2001.0,0,2,4,0.28140411245441865,6,0,1295,0.04388133498145859
1515,No Contest II,1996.0,0,0,2,0.00014337459109810315,0,2,2649,0.030284301606922123
1516,The Haunted Mask II: Part 1,1996.0,1,10,4,0.0002619734029979505,0,2,3609,0.04511742892459827
1517,Mute Witness,1995.0,0,5,1,0.0022606883117621593,9,0,212,0.04697156983930778
